timestamp,highway1_len,drain_delay_h1,can_take2
2026-04-21 21:17:39.919,3,1.7,1
2026-04-21 21:17:40.024,3,1.7,1
2026-04-21 21:17:40.128,3,1.7,1
2026-04-21 21:17:40.228,3,1.7,1
2026-04-21 21:17:40.331,3,1.7,1
2026-04-21 21:17:40.434,3,1.7,1
2026-04-21 21:17:40.539,3,1.7,1
2026-04-21 21:17:40.644,3,1.7,1
2026-04-21 21:17:40.746,3,1.7,1
2026-04-21 21:17:40.852,4,1.7,1
2026-04-21 21:17:40.953,4,1.7,1
2026-04-21 21:17:41.059,4,1.7,1
2026-04-21 21:17:41.164,5,1.7,1
2026-04-21 21:17:41.268,4,1.7,1
2026-04-21 21:17:41.373,4,1.7,1
2026-04-21 21:17:41.478,5,1.7,1
2026-04-21 21:17:41.583,5,1.7,1
2026-04-21 21:17:41.684,5,1.7,1
2026-04-21 21:17:41.789,6,1.7,1
2026-04-21 21:17:41.889,6,1.7,1
2026-04-21 21:17:41.993,6,1.7,1
2026-04-21 21:17:42.095,7,1.7,1
2026-04-21 21:17:42.195,7,1.7,1
2026-04-21 21:17:42.300,7,1.7,1
2026-04-21 21:17:42.406,7,1.7,1
2026-04-21 21:17:42.511,7,1.7,1
2026-04-21 21:17:42.612,7,1.7,1
2026-04-21 21:17:42.714,7,1.7,1
2026-04-21 21:17:42.815,7,1.7,1
2026-04-21 21:17:42.920,7,1.7,1
2026-04-21 21:17:43.024,6,1.7,1
2026-04-21 21:17:43.130,6,1.7,1
2026-04-21 21:17:43.232,6,1.7,1
2026-04-21 21:17:43.337,6,1.7,1
2026-04-21 21:17:43.442,6,1.7,1
2026-04-21 21:17:43.544,6,1.7,1
2026-04-21 21:17:43.645,6,1.7,1
2026-04-21 21:17:43.750,6,1.7,1
2026-04-21 21:17:43.854,6,1.7,1
2026-04-21 21:17:43.955,6,1.7,1
2026-04-21 21:17:44.060,6,1.7,0
2026-04-21 21:17:44.166,6,1.7,0
2026-04-21 21:17:44.267,6,1.7,0
2026-04-21 21:17:44.372,6,1.7,0
2026-04-21 21:17:44.477,6,1.7,0
2026-04-21 21:17:44.578,6,1.7,0
2026-04-21 21:17:44.683,5,1.7,0
2026-04-21 21:17:44.787,5,1.7,0
2026-04-21 21:17:44.891,5,1.7,0
2026-04-21 21:17:44.996,5,1.7,0
2026-04-21 21:17:45.101,5,1.7,0
2026-04-21 21:17:45.206,5,1.7,0
2026-04-21 21:17:45.307,5,1.7,0
2026-04-21 21:17:45.411,5,1.7,1
2026-04-21 21:17:45.512,5,1.7,1
2026-04-21 21:17:45.618,5,1.7,1
2026-04-21 21:17:45.722,5,1.7,0
2026-04-21 21:17:45.823,5,1.7,0
2026-04-21 21:17:45.928,5,1.7,0
2026-04-21 21:17:46.032,5,1.7,0
2026-04-21 21:17:46.137,5,1.7,0
2026-04-21 21:17:46.241,5,1.7,0
2026-04-21 21:17:46.345,5,1.7,0
2026-04-21 21:17:46.450,4,1.7,0
2026-04-21 21:17:46.552,4,1.7,0
2026-04-21 21:17:46.654,4,1.7,0
2026-04-21 21:17:46.758,4,1.7,0
2026-04-21 21:17:46.863,4,1.7,0
2026-04-21 21:17:46.965,4,1.7,0
2026-04-21 21:17:47.069,4,1.7,0
2026-04-21 21:17:47.172,4,1.7,0
2026-04-21 21:17:47.276,4,1.7,0
2026-04-21 21:17:47.381,4,1.7,0
2026-04-21 21:17:47.483,4,1.7,0
2026-04-21 21:17:47.587,4,1.7,0
2026-04-21 21:17:47.689,4,1.7,0
2026-04-21 21:17:47.791,4,1.7,0
2026-04-21 21:17:47.895,4,1.7,0
2026-04-21 21:17:48.000,4,1.7,0
2026-04-21 21:17:48.103,4,1.7,0
2026-04-21 21:17:48.205,3,1.7,0
2026-04-21 21:17:48.310,3,1.7,0
